"Reference","Value","Datasheet","Qty","Product_Link"
"C1,C3,C4,C6","0.1UF-0805-25V-_+80_-20%_","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_TORCH-CT41G-0805-2X1-50V-0-1-F-K-N_C126469.pdf","4","https://www.lcsc.com/product-detail/C126469.html"
"C2,C5","10UF-0805-16V-10%","https://www.lcsc.com/datasheet/lcsc_datasheet_2409292003_Vishay-Intertech-VJ0805G106KXYTW1BC_C5334346.pdf","2","https://www.lcsc.com/product-detail/C5334346.html"
"D1","Blue","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2208221800_TCWIN-TC0805GF01-1CSA_C5137315.pdf","1","https://lcsc.com/product-detail/C5137315.html"
"D2","Green","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410121920_Lite-On-LTST-C170KGKT_C98221.pdf","1","https://lcsc.com/product-detail/C5137315.html"
"D3","Red","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2504101957_XINGLIGHT-XL-2012SURC_C965812.pdf","1","https://lcsc.com/product-detail/C5137315.html"
"F1,F2,F3,F4,F5","JK-SMD0805-020-30V","https://www.lcsc.com/datasheet/lcsc_datasheet_2007081813_Jinrui-Electronic-Materials-Co--JK-SMD0805-020-30V_C516070.pdf","5","https://www.lcsc.com/product-detail/C516070.html"
"J1,J2,J3,J4,J5","USB_A","~","5","https://www.aliexpress.com/item/1005005865561469.html or https://www.lcsc.com/product-detail/C456015.html"
"J6","IO","~","1","~"
"J7","Power_In","~","1","https://www.aliexpress.com/item/1005003137518807.html"
"JP1,JP2,JP3,JP4,JP5","~","~","5","~"
"Q1,Q2,Q3,Q4,Q5","LMAK15N10","https://www.lcsc.com/datasheet/lcsc_datasheet_2504180925_VBsemi-Elec-ME15N10-VB_C710010.pdf","5","https://www.lcsc.com/product-detail/C710010.html"
"R1,R3,R4,R5,R7,R9,R11,R15,R16","10KOHM-0805-1_10W-1%","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121912_TyoHM-RMC080510K5-N_C269724.pdf","9","https://www.lcsc.com/product-detail/C269724.html"
"R2,R6,R8,R10,R12","100R","https://www.lcsc.com/datasheet/lcsc_datasheet_2411221126_UNI-ROYAL-Uniroyal-Elec-0805W8F1000T5E_C17408.pdf","5","https://www.lcsc.com/product-detail/C17408.html"
"R13,R17","68OHM-0805-1_10W-1%","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121912_TyoHM-RMC080510K5-N_C269724.pdf","2","https://www.lcsc.com/product-detail/C269724.html"
"R14","470OHM-0805-1_10W-1%","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121912_TyoHM-RMC080510K5-N_C269724.pdf","1","https://www.lcsc.com/product-detail/C269724.html"
"U1","ESP-WROOM-02","https://www.espressif.com/sites/default/files/documentation/0c-esp-wroom-02_datasheet_en.pdf","1","https://www.lcsc.com/product-detail/C529584.html"
"U2","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1","https://www.lcsc.com/product-detail/C2992570.html"
